d,N,hubble,rep,R_dS,R_hat,ratio,flat_prefactor,flat_r2,n_causal_pairs,intercept
2,256,0.0,0,0.0,3.19047979843819,nan,0.45493482057111767,0.9076236509538476,16062,0.4655599826810308
2,256,0.0,1,0.0,4.624996755297616,nan,0.4426429491024174,0.9271352756625418,15756,0.45676145456892425
2,256,0.0,2,0.0,-5.595455990914543,nan,0.4729766952997992,0.9350606302906077,15981,0.46136733754416714
2,256,0.0,3,0.0,24.59713555985983,nan,0.48403083868030977,0.8551325202509173,16049,0.5474661369927087
2,256,0.0,4,0.0,-10.483029519905326,nan,0.49708295780935263,0.8850773281325951,16111,0.4736976126450263
2,256,0.0,5,0.0,6.422696888542938,nan,0.5084545914770733,0.9229812510502866,16753,0.5255124653756931
2,256,0.0,6,0.0,9.02968809274998,nan,0.47185080974172994,0.9227389475093954,16011,0.4972975807612111
2,256,0.0,7,0.0,9.153675396648518,nan,0.48937395044943455,0.8791386837987614,15452,0.5105431450996392
2,256,0.0,8,0.0,11.238308965975685,nan,0.45461176999061226,0.8724027865678693,16469,0.48854415999051387
2,256,0.0,9,0.0,-5.97164210250801,nan,0.47735630448049043,0.914367709868455,15999,0.46473579564975864
2,256,0.25,0,0.125,5.7072517830743275,45.65801426459462,0.39610223161862,0.5839195254720282,14501,0.4130185069282865
2,256,0.25,1,0.125,-13.999608376022005,-111.99686700817604,0.38345724618135196,0.6354657387567433,15243,0.3423533917108802
2,256,0.25,2,0.125,-1.6350333752424655,-13.080267001939724,0.3894214368663333,0.5977835535855458,15028,0.38552019624792744
2,256,0.25,3,0.125,0.6440042164600396,5.152033731680317,0.3896046227197766,0.6443342767169741,15123,0.3898455267164855
2,256,0.25,4,0.125,-5.912355784777876,-47.29884627822301,0.3791527888400609,0.6291912859080719,14400,0.36110780953584776
2,256,0.25,5,0.125,16.106053400955993,128.84842720764794,0.3533095071100735,0.5930728116878163,14653,0.40469822867020017
2,256,0.25,6,0.125,-3.4962227929139584,-27.969782343311667,0.38340479138757183,0.6515050664779436,14705,0.37214580411148634
2,256,0.25,7,0.125,7.36914313581122,58.95314508648976,0.3775261134026377,0.594939811322404,14596,0.40225568284579194
2,256,0.25,8,0.125,-0.7225669671111228,-5.780535736888982,0.3892655756059664,0.6207124638293171,14438,0.387729709857002
2,256,0.25,9,0.125,1.742852136958937,13.942817095671495,0.40193247530873893,0.619215645890903,15113,0.40596477021389366
2,256,0.5,0,0.5,27.441120212340692,54.882240424681385,0.45063353134864603,0.6059134247924293,13048,0.507790945975638
2,256,0.5,1,0.5,24.196378118680887,48.39275623736177,0.39765442976384574,0.5675567720602723,13365,0.4637630729962672
2,256,0.5,2,0.5,41.923299762142136,83.84659952428427,0.42497784042991604,0.5433513041948861,13611,0.5312476411799796
2,256,0.5,3,0.5,40.80886051521041,81.61772103042082,0.4395240601058512,0.5784023165285381,12447,0.5277985025642886
2,256,0.5,4,0.5,33.47842727705661,66.95685455411322,0.4100924192339386,0.5540409933496244,14014,0.4993634186999006
2,256,0.5,5,0.5,0.7166321821513802,1.4332643643027605,0.44242915592849946,0.5918658347850204,13192,0.44405968364802983
2,256,0.5,6,0.5,-2.155951160242898,-4.311902320485796,0.45398937915829335,0.6020222020020778,13657,0.44635492158263396
2,256,0.5,7,0.5,6.607174939691284,13.214349879382569,0.4351751241657657,0.5786210221305972,13030,0.4557286498993035
2,256,0.5,8,0.5,20.979342226924246,41.95868445384849,0.44353449179578475,0.5667103296925928,12909,0.49077995930456614
2,256,0.5,9,0.5,6.488989652494491,12.977979304988981,0.4500978447498243,0.6050455195224356,12831,0.4651075317839577
2,256,1.0,0,2.0,75.42488417764496,37.71244208882248,0.46136661892625197,0.5544812601370583,11275,0.5906410959879271
2,256,1.0,1,2.0,74.23332159304829,37.116660796524144,0.51141457479135,0.5308802118174223,10736,0.6288589319174862
2,256,1.0,2,2.0,104.34938696436716,52.17469348218358,0.4970764906531271,0.501508987690755,10792,0.6711431785777825
2,256,1.0,3,2.0,185.75637919243317,92.87818959621659,0.528764494010017,0.4692383810779849,9460,0.8043451268671886
2,256,1.0,4,2.0,6.798676251283781,3.3993381256418904,0.5582274556798605,0.5606322564936295,10966,0.5713500105789292
2,256,1.0,5,2.0,161.6906171171129,80.84530855855645,0.5027821383545535,0.46407043141025417,10688,0.775993158674635
2,256,1.0,6,2.0,100.46115666003047,50.230578330015234,0.5438378927253649,0.5310804807155405,11925,0.7091238651657182
2,256,1.0,7,2.0,138.25116682079315,69.12558341039657,0.4794898837909216,0.4783111556785917,10683,0.7140597559018853
2,256,1.0,8,2.0,117.36394487987502,58.68197243993751,0.5474741571440942,0.4917339829516373,11023,0.736932531221304
2,256,1.0,9,2.0,127.62115331956265,63.810576659781326,0.4964400110387443,0.4881044969309144,9929,0.6923186388113414
2,256,2.0,0,8.0,2022.6144973010917,252.82681216263646,0.7295043546803492,0.28227687442666405,5815,2.0268001037255745
2,256,2.0,1,8.0,1671.1182323759976,208.8897790469997,0.8545168607280387,0.4234221863665084,5211,1.6758347680437102
2,256,2.0,2,8.0,2353.1006958628454,294.1375869828557,0.8292169071319693,0.23625625504581238,5351,2.0945411789864474
2,256,2.0,3,8.0,1385.4216854668666,173.17771068335833,0.7241314815231604,0.4001472933639809,6320,1.639388058574
2,256,2.0,4,8.0,1875.9565642362131,234.49457052952664,0.7769789622137889,0.3475392507486492,5714,1.8067823175836375
